# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-65-68	痲	75F2
1-65-69	痳	75F3
1-65-70	瘋	760B
1-65-71	瘍	760D
1-65-72	瘉	7609
1-65-73	瘟	761F
1-65-74	瘧	7627
1-65-75	瘠	7620
1-65-76	瘡	7621
1-65-77	瘢	7622
1-65-78	瘤	7624
1-65-79	瘴	7634
1-65-80	瘰	7630
1-65-81	瘻	763B
1-65-82	癇	7647
1-65-83	癈	7648
1-65-84	癆	7646
1-65-85	癜	765C
1-65-86	癘	7658
1-65-87	癡	7661
1-65-88	癢	7662
1-65-89	癨	7668
1-65-90	癩	7669
1-65-91	癪	766A
1-65-92	癧	7667
1-65-93	癬	766C
1-65-94	癰	7670
1-66-1	癲	7672
1-66-2	癶	7676
1-66-3	癸	7678
1-66-4	發	767C
1-66-5	皀	7680
1-66-6	皃	7683
1-66-7	皈	7688
1-66-8	皋	768B
1-66-9	皎	768E
1-66-10	皖	7696
1-66-11	皓	7693
1-66-12	皙	7699
1-66-13	皚	769A
1-66-14	皰	76B0
1-66-15	皴	76B4
1-66-16	皸	76B8
1-66-17	皹	76B9
1-66-18	皺	76BA
1-66-19	盂	76C2
1-66-20	盍	76CD
1-66-21	盖	76D6
1-66-22	盒	76D2
1-66-23	盞	76DE
1-66-24	盡	76E1
1-66-25	盥	76E5
1-66-26	盧	76E7
1-66-27	盪	76EA
1-66-28	蘯	862F
1-66-29	盻	76FB
1-66-30	眈	7708
1-66-31	眇	7707
1-66-32	眄	7704
1-66-33	眩	7729
1-66-34	眤	7724
1-66-35	眞	771E
1-66-36	眥	7725
1-66-37	眦	7726
1-66-38	眛	771B
1-66-39	眷	7737
1-66-40	眸	7738
1-66-41	睇	7747
1-66-42	睚	775A
1-66-43	睨	7768
1-66-44	睫	776B
1-66-45	睛	775B
1-66-46	睥	7765
1-66-47	睿	777F
1-66-48	睾	777E
1-66-49	睹	7779
1-66-50	瞎	778E
1-66-51	瞋	778B
1-66-52	瞑	7791
1-66-53	瞠	77A0
1-66-54	瞞	779E
1-66-55	瞰	77B0
1-66-56	瞶	77B6
1-66-57	瞹	77B9
1-66-58	瞿	77BF
1-66-59	瞼	77BC
1-66-60	瞽	77BD
1-66-61	瞻	77BB
1-66-62	矇	77C7
1-66-63	矍	77CD
1-66-64	矗	77D7
1-66-65	矚	77DA
1-66-66	矜	77DC
1-66-67	矣	77E3
1-66-68	矮	77EE
1-66-69	矼	77FC
1-66-70	砌	780C
1-66-71	砒	7812
1-66-72	礦	7926
1-66-73	砠	7820
1-66-74	礪	792A
1-66-75	硅	7845
1-66-76	碎	788E
1-66-77	硴	7874
1-66-78	碆	7886
1-66-79	硼	787C
1-66-80	碚	789A
1-66-81	碌	788C
1-66-82	碣	78A3
1-66-83	碵	78B5
1-66-84	碪	78AA
1-66-85	碯	78AF
1-66-86	磑	78D1
1-66-87	磆	78C6
1-66-88	磋	78CB
1-66-89	磔	78D4
1-66-90	碾	78BE
1-66-91	碼	78BC
1-66-92	磅	78C5
1-66-93	磊	78CA
1-66-94	磬	78EC
1-67-1	磧	78E7
1-67-2	磚	78DA
1-67-3	磽	78FD
1-67-4	磴	78F4
1-67-5	礇	7907
1-67-6	礒	7912
1-67-7	礑	7911
1-67-8	礙	7919
1-67-9	礬	792C
1-67-10	礫	792B
1-67-11	祀	7940
1-67-12	祠	7960
1-67-13	祗	7957
1-67-14	祟	795F
1-67-15	祚	795A
1-67-16	祕	7955
1-67-17	祓	7953
1-67-18	祺	797A
1-67-19	祿	797F
1-67-20	禊	798A
1-67-21	禝	799D
1-67-22	禧	79A7
1-67-23	齋	9F4B
1-67-24	禪	79AA
1-67-25	禮	79AE
1-67-26	禳	79B3
1-67-27	禹	79B9
1-67-28	禺	79BA
1-67-29	秉	79C9
1-67-30	秕	79D5
1-67-31	秧	79E7
1-67-32	秬	79EC
1-67-33	秡	79E1
1-67-34	秣	79E3
1-67-35	稈	7A08
1-67-36	稍	7A0D
1-67-37	稘	7A18
1-67-38	稙	7A19
1-67-39	稠	7A20
1-67-40	稟	7A1F
1-67-41	禀	7980
1-67-42	稱	7A31
1-67-43	稻	7A3B
1-67-44	稾	7A3E
1-67-45	稷	7A37
1-67-46	穃	7A43
1-67-47	穗	7A57
1-67-48	穉	7A49
1-67-49	穡	7A61
1-67-50	穢	7A62
1-67-51	穩	7A69
1-67-52	龝	9F9D
1-67-53	穰	7A70
1-67-54	穹	7A79
1-67-55	穽	7A7D
1-67-56	窈	7A88
1-67-57	窗	7A97
1-67-58	窕	7A95
1-67-59	窘	7A98
1-67-60	窖	7A96
1-67-61	窩	7AA9
1-67-62	竈	7AC8
1-67-63	窰	7AB0
1-67-64	窶	7AB6
1-67-65	竅	7AC5
1-67-66	竄	7AC4
1-67-67	窿	7ABF
1-67-68	邃	9083
1-67-69	竇	7AC7
1-67-70	竊	7ACA
1-67-71	竍	7ACD
1-67-72	竏	7ACF
1-67-73	竕	7AD5
1-67-74	竓	7AD3
1-67-75	站	7AD9
1-67-76	竚	7ADA
1-67-77	竝	7ADD
1-67-78	竡	7AE1
1-67-79	竢	7AE2
1-67-80	竦	7AE6
1-67-81	竭	7AED
1-67-82	竰	7AF0
1-67-83	笂	7B02
1-67-84	笏	7B0F
1-67-85	笊	7B0A
1-67-86	笆	7B06
