# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-92-37	踣	8E23
1-92-38	踽	8E3D
1-92-39	蹰	8E70
1-92-40	蹻	8E7B
1-92-41	𨉷	28277
1-92-42	軀	8EC0
1-92-43	䡄	4844
1-92-44	軺	8EFA
1-92-45	輞	8F1E
1-92-46	輭	8F2D
1-92-47	輶	8F36
1-92-48	轔	8F54
1-92-49	𨏍	283CD
1-92-50	辦	8FA6
1-92-51	辵	8FB5
1-92-52	迤	8FE4
1-92-53	迨	8FE8
1-92-54	迮	8FEE
1-92-55	逈	9008
1-92-56	逭	902D
1-92-57	逸	FA67
1-92-58	邈	9088
1-92-59	邕	9095
1-92-60	邗	9097
1-92-61	邙	9099
1-92-62	邛	909B
1-92-63	邢	90A2
1-92-64	邳	90B3
1-92-65	邾	90BE
1-92-66	郄	90C4
1-92-67	郅	90C5
1-92-68	郇	90C7
1-92-69	郗	90D7
1-92-70	郝	90DD
1-92-71	郞	90DE
1-92-72	郯	90EF
1-92-73	郴	90F4
1-92-74	都	FA26
1-92-75	鄔	9114
1-92-76	鄕	9115
1-92-77	鄖	9116
1-92-78	鄢	9122
1-92-79	鄣	9123
1-92-80	鄧	9127
1-92-81	鄯	912F
1-92-82	鄱	9131
1-92-83	鄴	9134
1-92-84	鄽	913D
1-92-85	酈	9148
1-92-86	酛	915B
1-92-87	醃	9183
1-92-88	醞	919E
1-92-89	醬	91AC
1-92-90	醱	91B1
1-92-91	醼	91BC
1-92-92	釗	91D7
1-92-93	釻	91FB
1-92-94	釤	91E4
1-93-1	釥	91E5
1-93-2	釭	91ED
1-93-3	釱	91F1
1-93-4	鈇	9207
1-93-5	鈐	9210
1-93-6	鈸	9238
1-93-7	鈹	9239
1-93-8	鈺	923A
1-93-9	鈼	923C
1-93-10	鉀	9240
1-93-11	鉃	9243
1-93-12	鉏	924F
1-93-13	鉸	9278
1-93-14	銈	9288
1-93-15	鋂	92C2
1-93-16	鋋	92CB
1-93-17	鋌	92CC
1-93-18	鋓	92D3
1-93-19	鋠	92E0
1-93-20	鋿	92FF
1-93-21	錄	9304
1-93-22	錟	931F
1-93-23	錡	9321
1-93-24	錥	9325
1-93-25	鍈	9348
1-93-26	鍉	9349
1-93-27	鍊	934A
1-93-28	鍤	9364
1-93-29	鍥	9365
1-93-30	鍪	936A
1-93-31	鍰	9370
1-93-32	鎛	939B
1-93-33	鎣	93A3
1-93-34	鎺	93BA
1-93-35	鏆	93C6
1-93-36	鏞	93DE
1-93-37	鏟	93DF
1-93-38	鐄	9404
1-93-39	鏽	93FD
1-93-40	鐳	9433
1-93-41	鑊	944A
1-93-42	鑣	9463
1-93-43	鑫	946B
1-93-44	鑱	9471
1-93-45	鑲	9472
1-93-46	閎	958E
1-93-47	閟	959F
1-93-48	閦	95A6
1-93-49	閩	95A9
1-93-50	閬	95AC
1-93-51	閶	95B6
1-93-52	閽	95BD
1-93-53	闋	95CB
1-93-54	闐	95D0
1-93-55	闓	95D3
1-93-56	䦰	49B0
1-93-57	闚	95DA
1-93-58	闞	95DE
1-93-59	陘	9658
1-93-60	隄	9684
1-93-61	隆	F9DC
1-93-62	隝	969D
1-93-63	隤	96A4
1-93-64	隥	96A5
1-93-65	雒	96D2
1-93-66	雞	96DE
1-93-67	難	FA68
1-93-68	雩	96E9
1-93-69	雯	96EF
1-93-70	霳	9733
1-93-71	霻	973B
1-93-72	靍	974D
1-93-73	靎	974E
1-93-74	靏	974F
1-93-75	靚	975A
1-93-76	靮	976E
1-93-77	靳	9773
1-93-78	鞕	9795
1-93-79	鞮	97AE
1-93-80	鞺	97BA
1-93-81	韁	97C1
1-93-82	韉	97C9
1-93-83	韞	97DE
1-93-84	韛	97DB
1-93-85	韴	97F4
1-93-86	響	FA69
1-93-87	頊	980A
1-93-88	頞	981E
1-93-89	頫	982B
1-93-90	頰	9830
1-93-91	頻	FA6A
1-93-92	顒	9852
1-93-93	顓	9853
1-93-94	顖	9856
1-94-1	顗	9857
1-94-2	顙	9859
1-94-3	顚	985A
1-94-4	類	F9D0
1-94-5	顥	9865
1-94-6	顬	986C
1-94-7	颺	98BA
1-94-8	飈	98C8
1-94-9	飧	98E7
1-94-10	饘	9958
1-94-11	馞	999E
1-94-12	騂	9A02
1-94-13	騃	9A03
1-94-14	騤	9A24
1-94-15	騭	9A2D
1-94-16	騮	9A2E
1-94-17	騸	9A38
1-94-18	驊	9A4A
1-94-19	驎	9A4E
1-94-20	驒	9A52
1-94-21	骶	9AB6
1-94-22	髁	9AC1
1-94-23	髃	9AC3
1-94-24	髎	9ACE
1-94-25	髖	9AD6
1-94-26	髹	9AF9
1-94-27	鬂	9B02
1-94-28	鬈	9B08
1-94-29	鬠	9B20
1-94-30	䰗	4C17
1-94-31	鬭	9B2D
1-94-32	魞	9B5E
1-94-33	魹	9B79
1-94-34	魦	9B66
1-94-35	魲	9B72
1-94-36	魵	9B75
1-94-37	鮄	9B84
1-94-38	鮊	9B8A
1-94-39	鮏	9B8F
1-94-40	鮞	9B9E
1-94-41	鮧	9BA7
1-94-42	鯁	9BC1
1-94-43	鯎	9BCE
1-94-44	鯥	9BE5
1-94-45	鯸	9BF8
1-94-46	鯽	9BFD
1-94-47	鰀	9C00
1-94-48	鰣	9C23
1-94-49	鱁	9C41
1-94-50	鱏	9C4F
1-94-51	鱐	9C50
1-94-52	鱓	9C53
1-94-53	鱣	9C63
1-94-54	鱥	9C65
1-94-55	鱷	9C77
1-94-56	鴝	9D1D
1-94-57	鴞	9D1E
1-94-58	鵃	9D43
1-94-59	鵇	9D47
1-94-60	鵒	9D52
1-94-61	鵣	9D63
1-94-62	鵰	9D70
1-94-63	鵼	9D7C
1-94-64	鶊	9D8A
1-94-65	鶖	9D96
1-94-66	鷀	9DC0
1-94-67	鶬	9DAC
1-94-68	鶼	9DBC
1-94-69	鷗	9DD7
1-94-70	𪆐	2A190
1-94-71	鷧	9DE7
1-94-72	鸇	9E07
1-94-73	鸕	9E15
1-94-74	鹼	9E7C
1-94-75	麞	9E9E
1-94-76	麤	9EA4
1-94-77	麬	9EAC
1-94-78	麯	9EAF
1-94-79	麴	9EB4
1-94-80	麵	9EB5
1-94-81	黃	9EC3
1-94-82	黑	9ED1
1-94-83	鼐	9F10
1-94-84	鼹	9F39
1-94-85	齗	9F57
1-94-86	龐	9F90
1-94-87	龔	9F94
1-94-88	龗	9F97
1-94-89	龢	9FA2
1-94-90	姸	59F8
1-94-91	屛	5C5B
1-94-92	幷	5E77
1-94-93	瘦	7626
1-94-94	繫	7E6B
2-1-1	𠂉	20089
2-1-2	丂	4E02
2-1-3	丏	4E0F
2-1-4	丒	4E12
2-1-5	丩	4E29
2-1-6	丫	4E2B
2-1-7	丮	4E2E
2-1-8	乀	4E40
2-1-9	乇	4E47
2-1-10	么	4E48
2-1-11	𠂢	200A2
2-1-12	乑	4E51
2-1-13	㐆	3406
2-1-14	𠂤	200A4
2-1-15	乚	4E5A
2-1-16	乩	4E69
2-1-17	亝	4E9D
2-1-18	㐬	342C
2-1-19	㐮	342E
2-1-20	亹	4EB9
2-1-21	亻	4EBB
2-1-22	𠆢	201A2
2-1-23	亼	4EBC
2-1-24	仃	4EC3
2-1-25	仈	4EC8
2-1-26	仐	4ED0
2-1-27	仫	4EEB
2-1-28	仚	4EDA
2-1-29	仱	4EF1
2-1-30	仵	4EF5
2-1-31	伀	4F00
2-1-32	伖	4F16
2-1-33	佤	4F64
2-1-34	伷	4F37
2-1-35	伾	4F3E
2-1-36	佔	4F54
2-1-37	佘	4F58
2-1-38	𠈓	20213
2-1-39	佷	4F77
2-1-40	佸	4F78
2-1-41	佺	4F7A
2-1-42	佽	4F7D
2-1-43	侂	4F82
2-1-44	侅	4F85
2-1-45	侒	4F92
2-1-46	侚	4F9A
2-1-47	俦	4FE6
2-1-48	侲	4FB2
2-1-49	侾	4FBE
2-1-50	俅	4FC5
2-1-51	俋	4FCB
2-1-52	俏	4FCF
2-1-53	俒	4FD2
2-1-54	㑪	346A
2-1-55	俲	4FF2
2-1-56	倀	5000
2-1-57	倐	5010
2-1-58	倓	5013
2-1-59	倜	501C
2-1-60	倞	501E
2-1-61	倢	5022
2-1-62	㑨	3468
2-1-63	偂	5042
2-1-64	偆	5046
2-1-65	偎	504E
2-1-66	偓	5053
2-1-67	偗	5057
2-1-68	偣	5063
2-1-69	偦	5066
2-1-70	偪	506A
2-1-71	偰	5070
2-1-72	傣	50A3
2-1-73	傈	5088
2-1-74	傒	5092
2-1-75	傓	5093
2-1-76	傕	5095
2-1-77	傖	5096
2-1-78	傜	509C
2-1-79	傪	50AA
2-1-80	𠌫	2032B
2-1-81	傱	50B1
2-1-82	傺	50BA
2-1-83	傻	50BB
2-1-84	僄	50C4
2-1-85	僇	50C7
2-1-86	僳	50F3
2-1-87	𠎁	20381
2-1-88	僎	50CE
2-1-89	𠍱	20371
2-1-90	僔	50D4
2-1-91	僙	50D9
2-1-92	僡	50E1
2-1-93	僩	50E9
2-1-94	㒒	3492
2-3-1	儈	5108
2-3-2	𠏹	203F9
2-3-3	儗	5117
2-3-4	儛	511B
2-3-5	𠑊	2044A
2-3-6	兠	5160
2-3-7	𠔉	20509
2-3-8	关	5173
2-3-9	冃	5183
2-3-10	冋	518B
2-3-11	㒼	34BC
2-3-12	冘	5198
2-3-13	冣	51A3
2-3-14	冭	51AD
2-3-15	㓇	34C7
2-3-16	冼	51BC
2-3-17	𠗖	205D6
2-3-18	𠘨	20628
2-3-19	凳	51F3
2-3-20	凴	51F4
2-3-21	刂	5202
2-3-22	划	5212
2-3-23	刖	5216
2-3-24	𠝏	2074F
2-3-25	剕	5255
2-3-26	剜	525C
2-3-27	剬	526C
2-3-28	剷	5277
2-3-29	劄	5284
2-3-30	劂	5282
2-3-31	𠠇	20807
2-3-32	劘	5298
2-3-33	𠠺	2083A
2-3-34	劤	52A4
2-3-35	劦	52A6
2-3-36	劯	52AF
2-3-37	劺	52BA
2-3-38	劻	52BB
2-3-39	勊	52CA
2-3-40	㔟	351F
2-3-41	勑	52D1
2-3-42	𠢹	208B9
2-3-43	勷	52F7
2-3-44	匊	530A
2-3-45	匋	530B
2-3-46	匤	5324
2-3-47	匵	5335
2-3-48	匾	533E
2-3-49	卂	5342
2-3-50	𠥼	2097C
2-3-51	𠦝	2099D
2-3-52	卧	5367
2-3-53	卬	536C
2-3-54	卺	537A
2-3-55	厤	53A4
2-3-56	厴	53B4
2-3-57	𠫓	20AD3
2-3-58	厷	53B7
2-3-59	叀	53C0
2-3-60	𠬝	20B1D
2-3-61	㕝	355D
2-3-62	㕞	355E
2-3-63	叕	53D5
2-3-64	叚	53DA
2-3-65	㕣	3563
2-3-66	叴	53F4
2-3-67	叵	53F5
2-3-68	呕	5455
2-3-69	吤	5424
2-3-70	吨	5428
2-3-71	㕮	356E
2-3-72	呃	5443
2-3-73	呢	5462
2-3-74	呦	5466
2-3-75	呬	546C
2-3-76	咊	548A
2-3-77	咍	548D
2-3-78	咕	5495
2-3-79	咠	54A0
2-3-80	咦	54A6
2-3-81	咭	54AD
2-3-82	咮	54AE
2-3-83	咷	54B7
2-3-84	咺	54BA
2-3-85	咿	54BF
2-3-86	哃	54C3
2-3-87	𠵅	20D45
2-3-88	哬	54EC
2-3-89	哯	54EF
2-3-90	哱	54F1
2-3-91	哳	54F3
2-3-92	唀	5500
2-3-93	唁	5501
2-3-94	唉	5509
2-4-1	唼	553C
2-4-2	啁	5541
2-4-3	㖦	35A6
2-4-4	啇	5547
2-4-5	啊	554A
2-4-6	㖨	35A8
2-4-7	啠	5560
2-4-8	啡	5561
2-4-9	啤	5564
2-4-10	𠷡	20DE1
2-4-11	啽	557D
2-4-12	喂	5582
2-4-13	喈	5588
2-4-14	喑	5591
2-4-15	㗅	35C5
2-4-16	嗒	55D2
2-4-17	𠺕	20E95
2-4-18	𠹭	20E6D
2-4-19	喿	55BF
2-4-20	嗉	55C9
2-4-21	嗌	55CC
2-4-22	嗑	55D1
2-4-23	嗝	55DD
2-4-24	㗚	35DA
2-4-25	嗢	55E2
2-4-26	𠹤	20E64
2-4-27	嗩	55E9
2-4-28	嘨	5628
2-4-29	𠽟	20F5F
2-4-30	嘇	5607
2-4-31	嘐	5610
2-4-32	嘰	5630
2-4-33	嘷	5637
2-4-34	㗴	35F4
2-4-35	嘽	563D
2-4-36	嘿	563F
2-4-37	噀	5640
2-4-38	噇	5647
2-4-39	噞	565E
2-4-40	噠	5660
2-4-41	噭	566D
2-4-42	㘅	3605
2-4-43	嚈	5688
2-4-44	嚌	568C
2-4-45	嚕	5695
2-4-46	嚚	569A
2-4-47	嚝	569D
2-4-48	嚨	56A8
2-4-49	嚭	56AD
2-4-50	嚲	56B2
2-4-51	囅	56C5
2-4-52	囍	56CD
2-4-53	囟	56DF
2-4-54	囨	56E8
2-4-55	囶	56F6
2-4-56	囷	56F7
2-4-57	𡈁	21201
2-4-58	圕	5715
2-4-59	圣	5723
2-4-60	𡉕	21255
2-4-61	圩	5729
2-4-62	𡉻	2127B
2-4-63	坅	5745
2-4-64	坆	5746
2-4-65	坌	574C
2-4-66	坍	574D
2-4-67	𡉴	21274
2-4-68	坨	5768
2-4-69	坯	576F
2-4-70	坳	5773
2-4-71	坴	5774
2-4-72	坵	5775
2-4-73	坻	577B
2-4-74	𡋤	212E4
2-4-75	𡋗	212D7
2-4-76	垬	57AC
2-4-77	垚	579A
2-4-78	垝	579D
2-4-79	垞	579E
2-4-80	垨	57A8
2-4-81	埗	57D7
2-4-82	𡋽	212FD
2-4-83	埌	57CC
2-4-84	𡌶	21336
2-4-85	𡍄	21344
2-4-86	埞	57DE
2-4-87	埦	57E6
2-4-88	埰	57F0
2-4-89	㙊	364A
2-4-90	埸	57F8
2-4-91	埻	57FB
2-4-92	埽	57FD
2-4-93	堄	5804
2-4-94	堞	581E
2-5-1	堠	5820
2-5-2	堧	5827
2-5-3	堲	5832
2-5-4	堹	5839
2-5-5	𡏄	213C4
2-5-6	塉	5849
2-5-7	塌	584C
2-5-8	塧	5867
2-5-9	墊	588A
2-5-10	墋	588B
2-5-11	墍	588D
2-5-12	墏	588F
2-5-13	墐	5890
2-5-14	墔	5894
2-5-15	墝	589D
2-5-16	墪	58AA
2-5-17	墱	58B1
2-5-18	𡑭	2146D
2-5-19	壃	58C3
2-5-20	壍	58CD
2-5-21	壢	58E2
2-5-22	壳	58F3
2-5-23	壴	58F4
2-5-24	夅	5905
2-5-25	夆	5906
2-5-26	夋	590B
2-5-27	复	590D
2-5-28	夔	5914
2-5-29	夤	5924
2-5-30	𡗗	215D7
2-5-31	㚑	3691
2-5-32	夽	593D
2-5-33	㚙	3699
2-5-34	奆	5946
2-5-35	㚖	3696
2-5-36	𦰩	26C29
2-5-37	奛	595B
2-5-38	奟	595F
2-5-39	𡙇	21647
2-5-40	奵	5975
2-5-41	奶	5976
2-5-42	奼	597C
2-5-43	妟	599F
2-5-44	妮	59AE
2-5-45	妼	59BC
2-5-46	姈	59C8
2-5-47	姍	59CD
2-5-48	姞	59DE
2-5-49	姣	59E3
2-5-50	姤	59E4
2-5-51	姧	59E7
2-5-52	姮	59EE
2-5-53	𡜆	21706
2-5-54	𡝂	21742
2-5-55	㛏	36CF
2-5-56	娌	5A0C
2-5-57	娍	5A0D
2-5-58	娗	5A17
2-5-59	娧	5A27
2-5-60	娭	5A2D
2-5-61	婕	5A55
2-5-62	婥	5A65
2-5-63	婺	5A7A
2-5-64	媋	5A8B
2-5-65	媜	5A9C
2-5-66	媟	5A9F
2-5-67	媠	5AA0
2-5-68	媢	5AA2
2-5-69	媱	5AB1
2-5-70	媳	5AB3
2-5-71	媵	5AB5
2-5-72	媺	5ABA
2-5-73	媿	5ABF
2-5-74	嫚	5ADA
2-5-75	嫜	5ADC
2-5-76	嫠	5AE0
2-5-77	嫥	5AE5
2-5-78	嫰	5AF0
2-5-79	嫮	5AEE
2-5-80	嫵	5AF5
2-5-81	嬀	5B00
2-5-82	嬈	5B08
2-5-83	嬗	5B17
2-5-84	嬴	5B34
2-5-85	嬭	5B2D
2-5-86	孌	5B4C
2-5-87	孒	5B52
2-5-88	孨	5B68
2-5-89	孯	5B6F
2-5-90	孼	5B7C
2-5-91	孿	5B7F
2-5-92	宁	5B81
2-5-93	宄	5B84
2-5-94	𡧃	219C3
2-8-1	宖	5B96
2-8-2	宬	5BAC
2-8-3	㝡	3761
2-8-4	寀	5BC0
2-8-5	㝢	3762
2-8-6	寎	5BCE
2-8-7	寖	5BD6
2-8-8	㝬	376C
2-8-9	㝫	376B
2-8-10	寱	5BF1
2-8-11	寽	5BFD
2-8-12	㝵	3775
2-8-13	尃	5C03
2-8-14	尩	5C29
2-8-15	尰	5C30
2-8-16	𡱖	21C56
2-8-17	屟	5C5F
2-8-18	屣	5C63
2-8-19	屧	5C67
2-8-20	屨	5C68
2-8-21	屩	5C69
2-8-22	屰	5C70
2-8-23	𡴭	21D2D
2-8-24	𡵅	21D45
2-8-25	屼	5C7C
2-8-26	𡵸	21D78
2-8-27	𡵢	21D62
2-8-28	岈	5C88
2-8-29	岊	5C8A
2-8-30	㟁	37C1
2-8-31	𡶡	21DA1
2-8-32	𡶜	21D9C
2-8-33	岠	5CA0
2-8-34	岢	5CA2
2-8-35	岦	5CA6
2-8-36	岧	5CA7
2-8-37	𡶒	21D92
2-8-38	岭	5CAD
2-8-39	岵	5CB5
2-8-40	𡶷	21DB7
2-8-41	峉	5CC9
2-8-42	𡷠	21DE0
2-8-43	𡸳	21E33
2-8-44	崆	5D06
2-8-45	崐	5D10
2-8-46	崫	5D2B
2-8-47	崝	5D1D
2-8-48	崠	5D20
2-8-49	崤	5D24
2-8-50	崦	5D26
2-8-51	崱	5D31
2-8-52	崹	5D39
2-8-53	嵂	5D42
2-8-54	㟨	37E8
2-8-55	嵡	5D61
2-8-56	嵪	5D6A
2-8-57	㟴	37F4
2-8-58	嵰	5D70
2-8-59	𡼞	21F1E
2-8-60	㟽	37FD
2-8-61	嶈	5D88
2-8-62	㠀	3800
2-8-63	嶒	5D92
2-8-64	嶔	5D94
2-8-65	嶗	5D97
2-8-66	嶙	5D99
2-8-67	嶰	5DB0
2-8-68	嶲	5DB2
2-8-69	嶴	5DB4
2-8-70	𡽶	21F76
2-8-71	嶹	5DB9
2-8-72	巑	5DD1
2-8-73	巗	5DD7
2-8-74	巘	5DD8
2-8-75	巠	5DE0
2-8-76	𡿺	21FFA
2-8-77	巤	5DE4
2-8-78	巩	5DE9
2-8-79	㠯	382F
2-8-80	帀	5E00
2-8-81	㠶	3836
2-8-82	帒	5E12
2-8-83	帕	5E15
2-8-84	㡀	3840
2-8-85	帟	5E1F
2-8-86	帮	5E2E
2-8-87	帾	5E3E
2-8-88	幉	5E49
2-8-89	㡜	385C
2-8-90	幖	5E56
2-8-91	㡡	3861
2-8-92	幫	5E6B
2-8-93	幬	5E6C
2-8-94	幭	5E6D
2-12-1	幮	5E6E
2-12-2	𢅻	2217B
2-12-3	庥	5EA5
2-12-4	庪	5EAA
2-12-5	庬	5EAC
2-12-6	庹	5EB9
2-12-7	庿	5EBF
2-12-8	廆	5EC6
2-12-9	廒	5ED2
2-12-10	廙	5ED9
2-12-11	𢌞	2231E
2-12-12	廽	5EFD
2-12-13	弈	5F08
2-12-14	弎	5F0E
2-12-15	弜	5F1C
2-12-16	𢎭	223AD
2-12-17	弞	5F1E
2-12-18	彇	5F47
2-12-19	彣	5F63
2-12-20	彲	5F72
2-12-21	彾	5F7E
2-12-22	徏	5F8F
2-12-23	徢	5FA2
2-12-24	徤	5FA4
2-12-25	徸	5FB8
2-12-26	忄	5FC4
2-12-27	㣺	38FA
2-12-28	忇	5FC7
2-12-29	忋	5FCB
2-12-30	忒	5FD2
2-12-31	忓	5FD3
2-12-32	忔	5FD4
2-12-33	忢	5FE2
2-12-34	忮	5FEE
2-12-35	忯	5FEF
2-12-36	忳	5FF3
2-12-37	忼	5FFC
2-12-38	㤗	3917
2-12-39	怗	6017
2-12-40	怢	6022
2-12-41	怤	6024
2-12-42	㤚	391A
2-12-43	恌	604C
2-12-44	恿	607F
2-12-45	悊	608A
2-12-46	悕	6095
2-12-47	您	60A8
2-12-48	𢛳	226F3
2-12-49	悰	60B0
2-12-50	悱	60B1
2-12-51	悾	60BE
2-12-52	惈	60C8
2-12-53	惙	60D9
2-12-54	惛	60DB
2-12-55	惮	60EE
2-12-56	惲	60F2
2-12-57	惵	60F5
2-12-58	愐	6110
2-12-59	愒	6112
2-12-60	愓	6113
2-12-61	愙	6119
2-12-62	愞	611E
2-12-63	愺	613A
2-12-64	㥯	396F
2-12-65	慁	6141
2-12-66	慆	6146
2-12-67	慠	6160
2-12-68	慼	617C
2-12-69	𢡛	2285B
2-12-70	憒	6192
2-12-71	憓	6193
2-12-72	憗	6197
2-12-73	憘	6198
2-12-74	憥	61A5
2-12-75	憨	61A8
2-12-76	憭	61AD
2-12-77	𢢫	228AB
2-12-78	懕	61D5
2-12-79	懝	61DD
2-12-80	懟	61DF
2-12-81	懵	61F5
2-12-82	𢦏	2298F
2-12-83	戕	6215
2-12-84	戣	6223
2-12-85	戩	6229
2-12-86	扆	6246
2-12-87	扌	624C
2-12-88	扑	6251
2-12-89	扒	6252
2-12-90	扡	6261
2-12-91	扤	6264
2-12-92	扻	627B
2-12-93	扭	626D
2-12-94	扳	6273
2-13-1	抙	6299
2-13-2	抦	62A6
2-13-3	拕	62D5
2-13-4	𢪸	22AB8
2-13-5	拽	62FD
2-13-6	挃	6303
2-13-7	挍	630D
2-13-8	挐	6310
2-13-9	𢭏	22B4F
2-13-10	𢭐	22B50
2-13-11	挲	6332
2-13-12	挵	6335
2-13-13	挻	633B
2-13-14	挼	633C
2-13-15	捁	6341
2-13-16	捄	6344
2-13-17	捎	634E
2-13-18	𢭆	22B46
2-13-19	捙	6359
2-13-20	𢰝	22C1D
2-13-21	𢮦	22BA6
2-13-22	捬	636C
2-13-23	掄	6384
2-13-24	掙	6399
2-13-25	𢰤	22C24
2-13-26	掔	6394
2-13-27	掽	63BD
2-13-28	揷	63F7
2-13-29	揔	63D4
2-13-30	揕	63D5
2-13-31	揜	63DC
2-13-32	揠	63E0
2-13-33	揫	63EB
2-13-34	揬	63EC
2-13-35	揲	63F2
2-13-36	搉	6409
2-13-37	搞	641E
2-13-38	搥	6425
2-13-39	搩	6429
2-13-40	搯	642F
2-13-41	摚	645A
2-13-42	摛	645B
2-13-43	摝	645D
2-13-44	摳	6473
2-13-45	摽	647D
2-13-46	撇	6487
2-13-47	撑	6491
2-13-48	撝	649D
2-13-49	撟	649F
2-13-50	擋	64CB
2-13-51	擌	64CC
2-13-52	擕	64D5
2-13-53	擗	64D7
2-13-54	𢷡	22DE1
2-13-55	擤	64E4
2-13-56	擥	64E5
2-13-57	擿	64FF
2-13-58	攄	6504
2-13-59	㩮	3A6E
2-13-60	攏	650F
2-13-61	攔	6514
2-13-62	攖	6516
2-13-63	㩳	3A73
2-13-64	攞	651E
2-13-65	攲	6532
2-13-66	敄	6544
2-13-67	敔	6554
2-13-68	敫	656B
2-13-69	敺	657A
2-13-70	斁	6581
2-13-71	斄	6584
2-13-72	斅	6585
2-13-73	斊	658A
2-13-74	斲	65B2
2-13-75	斵	65B5
2-13-76	斸	65B8
2-13-77	斿	65BF
2-13-78	旂	65C2
2-13-79	旉	65C9
2-13-80	旔	65D4
2-13-81	㫖	3AD6
2-13-82	旲	65F2
2-13-83	旹	65F9
2-13-84	旼	65FC
2-13-85	昄	6604
2-13-86	昈	6608
2-13-87	昡	6621
2-13-88	昪	662A
2-13-89	晅	6645
2-13-90	晑	6651
2-13-91	晎	664E
2-13-92	㫪	3AEA
2-13-93	𣇃	231C3
2-13-94	晗	6657
2-14-1	晛	665B
2-14-2	晣	6663
2-14-3	𣇵	231F5
2-14-4	𣆶	231B6
2-14-5	晪	666A
2-14-6	晫	666B
2-14-7	晬	666C
2-14-8	晭	666D
2-14-9	晻	667B
2-14-10	暀	6680
2-14-11	暐	6690
2-14-12	暒	6692
2-14-13	暙	6699
2-14-14	㬎	3B0E
2-14-15	暭	66AD
2-14-16	暱	66B1
2-14-17	暵	66B5
2-14-18	㬚	3B1A
2-14-19	暿	66BF
2-14-20	㬜	3B1C
2-14-21	曬	66EC
2-14-22	㫗	3AD7
2-14-23	朁	6701
2-14-24	朅	6705
2-14-25	朒	6712
2-14-26	𣍲	23372
2-14-27	朙	6719
2-14-28	𣏓	233D3
2-14-29	𣏒	233D2
2-14-30	杌	674C
2-14-31	杍	674D
2-14-32	杔	6754
2-14-33	杝	675D
2-14-34	𣏐	233D0
2-14-35	𣏤	233E4
2-14-36	𣏕	233D5
2-14-37	杴	6774
2-14-38	杶	6776
2-14-39	𣏚	233DA
2-14-40	枒	6792
2-14-41	𣏟	233DF
2-14-42	荣	8363
2-14-43	栐	6810
2-14-44	枰	67B0
2-14-45	枲	67B2
2-14-46	柃	67C3
2-14-47	柈	67C8
2-14-48	柒	67D2
2-14-49	柙	67D9
2-14-50	柛	67DB
2-14-51	柰	67F0
2-14-52	柷	67F7
2-14-53	𣑊	2344A
2-14-54	𣑑	23451
2-14-55	𣑋	2344B
2-14-56	栘	6818
2-14-57	栟	681F
2-14-58	栭	682D
2-14-59	𣑥	23465
2-14-60	栳	6833
2-14-61	栻	683B
2-14-62	栾	683E
2-14-63	桄	6844
2-14-64	桅	6845
2-14-65	桉	6849
2-14-66	桌	684C
2-14-67	桕	6855
2-14-68	桗	6857
2-14-69	㭷	3B77
2-14-70	桫	686B
2-14-71	桮	686E
2-14-72	桺	687A
2-14-73	桼	687C
2-14-74	梂	6882
2-14-75	梐	6890
2-14-76	梖	6896
2-14-77	㭭	3B6D
2-14-78	梘	6898
2-14-79	梙	6899
2-14-80	梚	689A
2-14-81	梜	689C
2-14-82	梪	68AA
2-14-83	梫	68AB
2-14-84	梴	68B4
2-14-85	梻	68BB
2-14-86	棻	68FB
2-14-87	𣓤	234E4
2-14-88	𣕚	2355A
2-14-89	﨓	FA13
2-14-90	棃	68C3
2-14-91	棅	68C5
2-14-92	棌	68CC
2-14-93	棏	68CF
2-14-94	棖	68D6
2-15-1	棙	68D9
2-15-2	棤	68E4
2-15-3	棥	68E5
2-15-4	棬	68EC
2-15-5	棷	68F7
2-15-6	椃	6903
2-15-7	椇	6907
2-15-8	㮇	3B87
2-15-9	㮈	3B88
2-15-10	𣖔	23594
2-15-11	椻	693B
2-15-12	㮍	3B8D
2-15-13	楆	6946
2-15-14	楩	6969
2-15-15	楬	696C
2-15-16	楲	6972
2-15-17	楺	697A
2-15-18	楿	697F
2-15-19	榒	6992
2-15-20	㮤	3BA4
2-15-21	榖	6996
2-15-22	榘	6998
2-15-23	榦	69A6
2-15-24	榰	69B0
2-15-25	榷	69B7
2-15-26	榺	69BA
2-15-27	榼	69BC
2-15-28	槀	69C0
2-15-29	槑	69D1
2-15-30	槖	69D6
2-15-31	𣘹	23639
2-15-32	𣙇	23647
2-15-33	樰	6A30
2-15-34	𣘸	23638
2-15-35	𣘺	2363A
2-15-36	槣	69E3
2-15-37	槮	69EE
2-15-38	槯	69EF
2-15-39	槳	69F3
2-15-40	㯍	3BCD
2-15-41	槴	69F4
2-15-42	槾	69FE
2-15-43	樑	6A11
2-15-44	樚	6A1A
2-15-45	樝	6A1D
2-15-46	𣜜	2371C
2-15-47	樲	6A32
2-15-48	樳	6A33
2-15-49	樴	6A34
2-15-50	樿	6A3F
